"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1452","Browser Windows : New Tab","chromium","Thu Jan 29 10:21:47 UTC 2026","passed","Thu Jan 29 10:21:48 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","1387","Sortable List","chromium","Thu Jan 29 10:23:10 UTC 2026","passed","Thu Jan 29 10:23:12 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","1828","Valid Image - Broken Image Tests","chromium","Thu Jan 29 10:21:58 UTC 2026","passed","Thu Jan 29 10:22:00 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","8006","Test case","chromium","Thu Jan 29 10:23:20 UTC 2026","passed","Thu Jan 29 10:23:28 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","1753","Select Menu","chromium","Thu Jan 29 10:23:28 UTC 2026","passed","Thu Jan 29 10:23:30 UTC 2026","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","1422","Resizeable Free","chromium","Thu Jan 29 10:23:06 UTC 2026","passed","Thu Jan 29 10:23:08 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","1408","Slider","chromium","Thu Jan 29 10:23:30 UTC 2026","passed","Thu Jan 29 10:23:32 UTC 2026","Test suite : Slider","widgets_/slider.spec.js","",""
"","1810","Expand checkbox tree","chromium","Thu Jan 29 10:22:05 UTC 2026","passed","Thu Jan 29 10:22:07 UTC 2026","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","1415","Menu","chromium","Thu Jan 29 10:23:19 UTC 2026","passed","Thu Jan 29 10:23:20 UTC 2026","Test suite : Menu","widgets_/menu.spec.js","",""
"","3510","Axis Restricted Draggable","chromium","Thu Jan 29 10:22:32 UTC 2026","passed","Thu Jan 29 10:22:36 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2012","Test case","chromium","Thu Jan 29 10:23:17 UTC 2026","passed","Thu Jan 29 10:23:19 UTC 2026","Test suite : Date Picker","widgets_/date_picker.spec.js","",""
"","1708","Student Registration Form","chromium","Thu Jan 29 10:22:27 UTC 2026","passed","Thu Jan 29 10:22:29 UTC 2026","Elements Suite => Form","Form_Application/form_application.spec.js","",""
"","1362","Single Color","chromium","Thu Jan 29 10:23:16 UTC 2026","passed","Thu Jan 29 10:23:17 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","1390","Resizeable","chromium","Thu Jan 29 10:23:05 UTC 2026","passed","Thu Jan 29 10:23:06 UTC 2026","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","2015","Valid Link","chromium","Thu Jan 29 10:22:00 UTC 2026","passed","Thu Jan 29 10:22:02 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","3489","Container Restricted Draggable","chromium","Thu Jan 29 10:22:36 UTC 2026","passed","Thu Jan 29 10:22:39 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1389","Timer Alert","chromium","Thu Jan 29 10:21:43 UTC 2026","passed","Thu Jan 29 10:21:44 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1437","Sortable Grid","chromium","Thu Jan 29 10:23:09 UTC 2026","passed","Thu Jan 29 10:23:10 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","7401","Dynamic Properties Functionality","chromium","Thu Jan 29 10:22:07 UTC 2026","passed","Thu Jan 29 10:22:14 UTC 2026","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","3555","Simple Draggable","chromium","Thu Jan 29 10:22:29 UTC 2026","passed","Thu Jan 29 10:22:32 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1480","Broken Link","chromium","Thu Jan 29 10:22:02 UTC 2026","passed","Thu Jan 29 10:22:03 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","4663","Links Functionality","chromium","Thu Jan 29 10:22:14 UTC 2026","passed","Thu Jan 29 10:22:19 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","3494","Cursor Style Draggable","chromium","Thu Jan 29 10:22:39 UTC 2026","passed","Thu Jan 29 10:22:43 UTC 2026","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1838","Radio Button Test","chromium","Thu Jan 29 10:22:19 UTC 2026","passed","Thu Jan 29 10:22:21 UTC 2026","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","7920","Accept Droppable","chromium","Thu Jan 29 10:22:48 UTC 2026","passed","Thu Jan 29 10:22:56 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2325","test","chromium","Thu Jan 29 10:23:12 UTC 2026","passed","Thu Jan 29 10:23:14 UTC 2026","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","3378","Web Tables","chromium","Thu Jan 29 10:22:24 UTC 2026","passed","Thu Jan 29 10:22:27 UTC 2026","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","3216","Modal Dialogs","chromium","Thu Jan 29 10:21:53 UTC 2026","passed","Thu Jan 29 10:21:56 UTC 2026","Test suite : Modal Dialogs","alerts_frame_windows/modal_dialogs.spec.js","",""
"","1382","Prompt Box Alert","chromium","Thu Jan 29 10:21:46 UTC 2026","passed","Thu Jan 29 10:21:47 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","4511","Revert Droppable","chromium","Thu Jan 29 10:23:00 UTC 2026","passed","Thu Jan 29 10:23:05 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1655","All Button Functionalities Combined","chromium","Thu Jan 29 10:22:03 UTC 2026","passed","Thu Jan 29 10:22:05 UTC 2026","Elements Suite: Buttons Functionality","Elements_demoQa/buttons.spec.js","",""
"","4594","Prevent Propogation Droppable","chromium","Thu Jan 29 10:22:56 UTC 2026","passed","Thu Jan 29 10:23:00 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","5349","Simple Alert","chromium","Thu Jan 29 10:21:37 UTC 2026","passed","Thu Jan 29 10:21:42 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1483","Nested Frames","chromium","Thu Jan 29 10:21:56 UTC 2026","passed","Thu Jan 29 10:21:58 UTC 2026","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","6220","Tool Tips","chromium","Thu Jan 29 10:23:41 UTC 2026","passed","Thu Jan 29 10:23:48 UTC 2026","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","1394","Multiple Color","chromium","Thu Jan 29 10:23:14 UTC 2026","passed","Thu Jan 29 10:23:16 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","1388","Confirm Alert","chromium","Thu Jan 29 10:21:44 UTC 2026","passed","Thu Jan 29 10:21:46 UTC 2026","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1393","Upload and Download Functionality","chromium","Thu Jan 29 10:22:22 UTC 2026","passed","Thu Jan 29 10:22:24 UTC 2026","Elements Suite: Upload and Download Functionality","Elements_demoQa/upload_download.spec.js","",""
