"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6764","Confirm Alert","chromium","2026-01-07","passed","2026-01-07","Alerts => Test Suite","alerts_frame_windows_demoQA\alerts.spec.js","",""
"","5511","Simple Draggable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Draggablr","interactions_demoQA\dragabble.spec.js","",""
"","10009","Tool Tips","chromium","2026-01-07","passed","2026-01-07","Test Suite : Tool Tips","widgets_demoQA\tool-tips.spec.js","",""
"","8351","Broken Link","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Links Functionality","Elements_demoQA\broken_links-images.spec.js","",""
"","4554","Nested Frames","chromium","2026-01-07","passed","2026-01-07","Test suite : Nested Frames","alerts_frame_windows_demoQA\nested-frames.spec.js","",""
"","25907","Dynamic Properties Functionality","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Dynamic Properties Functionality","Elements_demoQA\dynamic-properties.spec.js","",""
"","7142","Container Restricted Draggable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Draggablr","interactions_demoQA\dragabble.spec.js","",""
"","9735","Accept Droppable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Droppable","interactions_demoQA\droppable.spec.js","",""
"","5722","Browser Windows : New Tab","chromium","2026-01-07","passed","2026-01-07","ALerts, Frame & Windows => Test suite","alerts_frame_windows_demoQA\browser-windows.spec.js","",""
"","13390","Slider","chromium","2026-01-07","passed","2026-01-07","Test suite : Slider","widgets_demoQA\slider.spec.js","",""
"","4116","Elements Suite: Text_Box","chromium","2026-01-07","passed","2026-01-07","","Elements_demoQA\text-box.spec.js","",""
"","7090","Browser Windows : New Window","chromium","2026-01-07","passed","2026-01-07","ALerts, Frame & Windows => Test suite","alerts_frame_windows_demoQA\browser-windows.spec.js","",""
"","43173","Cursor Style Draggable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Draggablr","interactions_demoQA\dragabble.spec.js","",""
"","7336","Multiple Color","chromium","2026-01-07","passed","2026-01-07","Test suite : Auto Complete","widgets_demoQA\auto-complete.spec.js","",""
"","12678","Resizeable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Resizeable","interactions_demoQA\resizeable.spec.js","",""
