"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70","Create User: User B","chromium","Tue Jan 20 06:18:09 UTC 2026","failed","Tue Jan 20 06:18:09 UTC 2026","Data Driven User Creation","data-driven.spec.ts","",""
"","0","Step 4: Delete the user","chromium","Tue Jan 20 06:18:18 UTC 2026","skipped","Tue Jan 20 06:18:18 UTC 2026","POM Refactored Lifecycle","pom-lifecycle.spec.ts","",""
"","78","Step 1: Create a new user","chromium","Tue Jan 20 06:18:18 UTC 2026","failed","Tue Jan 20 06:18:18 UTC 2026","POM Refactored Lifecycle","pom-lifecycle.spec.ts","",""
"","0","Step 2: Update the User name","chromium","Tue Jan 20 06:18:18 UTC 2026","skipped","Tue Jan 20 06:18:18 UTC 2026","POM Refactored Lifecycle","pom-lifecycle.spec.ts","",""
"","0","Step 3: Verify User","chromium","Tue Jan 20 06:18:18 UTC 2026","skipped","Tue Jan 20 06:18:18 UTC 2026","POM Refactored Lifecycle","pom-lifecycle.spec.ts","",""
"","71","Should reject request with Invalid Token (401)","chromium","Tue Jan 20 06:18:13 UTC 2026","failed","Tue Jan 20 06:18:14 UTC 2026","Negative Scenarios","negative.spec.ts","",""
"","75","Create User: User C","chromium","Tue Jan 20 06:18:11 UTC 2026","failed","Tue Jan 20 06:18:11 UTC 2026","Data Driven User Creation","data-driven.spec.ts","",""
"","73","Should reject user without email (422)","chromium","Tue Jan 20 06:18:16 UTC 2026","failed","Tue Jan 20 06:18:16 UTC 2026","Negative Scenarios","negative.spec.ts","",""
"","4","Check Environment Setup","chromium","Tue Jan 20 06:18:18 UTC 2026","passed","Tue Jan 20 06:18:18 UTC 2026","","setup.spec.ts","",""
"","66","Create User: User A","chromium","Tue Jan 20 06:18:07 UTC 2026","failed","Tue Jan 20 06:18:07 UTC 2026","Data Driven User Creation","data-driven.spec.ts","",""
