"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","254","Should reject user without email (422)","chromium","Tue Jan 20 08:01:39 UTC 2026","passed","Tue Jan 20 08:01:39 UTC 2026","Negative Scenarios","negative.spec.ts","",""
"","802","Create User: User A","chromium","Tue Jan 20 08:01:38 UTC 2026","passed","Tue Jan 20 08:01:39 UTC 2026","Data Driven User Creation","data-driven.spec.ts","",""
"","283","Step 2: Update the User name","chromium","Tue Jan 20 08:01:39 UTC 2026","passed","Tue Jan 20 08:01:40 UTC 2026","POM Refactored Lifecycle","pom-lifecycle.spec.ts","",""
"","1366","Create User: User C","chromium","Tue Jan 20 08:01:38 UTC 2026","passed","Tue Jan 20 08:01:39 UTC 2026","Data Driven User Creation","data-driven.spec.ts","",""
"","278","Step 4: Delete the user","chromium","Tue Jan 20 08:01:40 UTC 2026","passed","Tue Jan 20 08:01:40 UTC 2026","POM Refactored Lifecycle","pom-lifecycle.spec.ts","",""
"","275","Step 1: Create a new user","chromium","Tue Jan 20 08:01:39 UTC 2026","passed","Tue Jan 20 08:01:39 UTC 2026","POM Refactored Lifecycle","pom-lifecycle.spec.ts","",""
"","253","Step 3: Verify User","chromium","Tue Jan 20 08:01:40 UTC 2026","passed","Tue Jan 20 08:01:40 UTC 2026","POM Refactored Lifecycle","pom-lifecycle.spec.ts","",""
"","631","Should reject request with Invalid Token (401)","chromium","Tue Jan 20 08:01:38 UTC 2026","passed","Tue Jan 20 08:01:39 UTC 2026","Negative Scenarios","negative.spec.ts","",""
"","1353","Create User: User B","chromium","Tue Jan 20 08:01:38 UTC 2026","passed","Tue Jan 20 08:01:39 UTC 2026","Data Driven User Creation","data-driven.spec.ts","",""
"","2","Check Environment Setup","chromium","Tue Jan 20 08:01:39 UTC 2026","passed","Tue Jan 20 08:01:39 UTC 2026","","setup.spec.ts","",""
